Brand,Model,Color,Retail_Price,Release_Date,Price_Premium,Avg_Sale_Price,Date_of_Sale,Time_of_Sale,Sneaker_Size,Sale_Price
Air Jordan,Jordan 1 Retro UNC,WHITE/DARK POWDER BLUE,160.0,10/10/15,34.40%,$219 ,2018-02-02 00:00:00,12:27 PM EST,11.0,245.0
Air Jordan,Jordan 1 Retro UNC,WHITE/DARK POWDER BLUE,160.0,10/10/15,34.40%,$219 ,2018-02-02 00:00:00,10:38 AM EST,9.0,240.0
Air Jordan,Jordan 1 Retro UNC,WHITE/DARK POWDER BLUE,160.0,10/10/15,34.40%,$219 ,2018-02-01 00:00:00,1:57 PM EST,12.0,180.0
Air Jordan,Jordan 1 Retro UNC,WHITE/DARK POWDER BLUE,160.0,10/10/15,34.40%,$219 ,2018-02-01 00:00:00,10:24 AM EST,10.0,218.0
Air Jordan,Jordan 1 Retro UNC,WHITE/DARK POWDER BLUE,160.0,10/10/15,34.40%,$219 ,2018-01-31 00:00:00,9:58 PM EST,12.0,205.0
Air Jordan,Jordan 1 Retro UNC,WHITE/DARK POWDER BLUE,160.0,10/10/15,34.40%,$219 ,2018-01-31 00:00:00,2:23 PM EST,11.0,220.0
Air Jordan,Jordan 1 Retro UNC,WHITE/DARK POWDER BLUE,160.0,10/10/15,34.40%,$219 ,2018-01-31 00:00:00,10:46 AM EST,11.0,225.0
Air Jordan,Jordan 1 Retro UNC,WHITE/DARK POWDER BLUE,160.0,10/10/15,34.40%,$219 ,2018-01-31 00:00:00,9:12 AM EST,11.0,235.0
Air Jordan,Jordan 1 Retro UNC,WHITE/DARK POWDER BLUE,160.0,10/10/15,34.40%,$219 ,2018-01-31 00:00:00,8:33 AM EST,12.0,189.0
Air Jordan,Jordan 1 Retro UNC,WHITE/DARK POWDER BLUE,160.0,10/10/15,34.40%,$219 ,2018-01-29 00:00:00,2:21 PM EST,12.0,220.0
Air Jordan,Jordan 1 Retro UNC,WHITE/DARK POWDER BLUE,160.0,10/10/15,34.40%,$219 ,2018-01-29 00:00:00,11:57 AM EST,11.0,226.0
Air Jordan,Jordan 1 Retro UNC,WHITE/DARK POWDER BLUE,160.0,10/10/15,34.40%,$219 ,2018-01-28 00:00:00,3:44 PM EST,9.5,250.0
Air Jordan,Jordan 1 Retro UNC,WHITE/DARK POWDER BLUE,160.0,10/10/15,34.40%,$219 ,2018-01-27 00:00:00,8:13 PM EST,10.0,285.0
Air Jordan,Jordan 1 Retro UNC,WHITE/DARK POWDER BLUE,160.0,10/10/15,34.40%,$219 ,2018-01-26 00:00:00,3:08 PM EST,10.5,210.0
Air Jordan,Jordan 1 Retro UNC,WHITE/DARK POWDER BLUE,160.0,10/10/15,34.40%,$219 ,2018-01-26 00:00:00,1:37 PM EST,11.0,215.0
Air Jordan,Jordan 1 Retro UNC,WHITE/DARK POWDER BLUE,160.0,10/10/15,34.40%,$219 ,2018-01-26 00:00:00,1:14 PM EST,9.0,230.0
Air Jordan,Jordan 1 Retro UNC,WHITE/DARK POWDER BLUE,160.0,10/10/15,34.40%,$219 ,2018-01-26 00:00:00,12:52 PM EST,10.5,206.0
Air Jordan,Jordan 1 Retro UNC,WHITE/DARK POWDER BLUE,160.0,10/10/15,34.40%,$219 ,2018-01-26 00:00:00,12:12 PM EST,11.0,208.0
Air Jordan,Jordan 1 Retro UNC,WHITE/DARK POWDER BLUE,160.0,10/10/15,34.40%,$219 ,2018-01-26 00:00:00,9:02 AM EST,14.0,235.0
Air Jordan,Jordan 1 Retro UNC,WHITE/DARK POWDER BLUE,160.0,10/10/15,34.40%,$219 ,2018-01-24 00:00:00,4:19 PM EST,11.0,156.0
Air Jordan,Jordan 1 Retro UNC,WHITE/DARK POWDER BLUE,160.0,10/10/15,34.40%,$219 ,2018-01-24 00:00:00,3:44 PM EST,10.5,207.0
Air Jordan,Jordan 1 Retro UNC,WHITE/DARK POWDER BLUE,160.0,10/10/15,34.40%,$219 ,2018-01-23 00:00:00,10:50 AM EST,9.5,215.0
Air Jordan,Jordan 1 Retro UNC,WHITE/DARK POWDER BLUE,160.0,10/10/15,34.40%,$219 ,2018-01-19 00:00:00,11:37 AM EST,8.5,235.0
Air Jordan,Jordan 1 Retro UNC,WHITE/DARK POWDER BLUE,160.0,10/10/15,34.40%,$219 ,2018-01-19 00:00:00,10:38 AM EST,10.0,195.0
Air Jordan,Jordan 1 Retro UNC,WHITE/DARK POWDER BLUE,160.0,10/10/15,34.40%,$219 ,2018-01-18 00:00:00,11:04 AM EST,11.5,235.0
Air Jordan,Jordan 1 Retro UNC,WHITE/DARK POWDER BLUE,160.0,10/10/15,34.40%,$219 ,2018-01-18 00:00:00,10:29 AM EST,11.0,210.0
Air Jordan,Jordan 1 Retro UNC,WHITE/DARK POWDER BLUE,160.0,10/10/15,34.40%,$219 ,2018-01-17 00:00:00,6:46 PM EST,8.5,215.0
Air Jordan,Jordan 1 Retro UNC,WHITE/DARK POWDER BLUE,160.0,10/10/15,34.40%,$219 ,2018-01-17 00:00:00,6:00 PM EST,11.0,199.0
Air Jordan,Jordan 1 Retro UNC,WHITE/DARK POWDER BLUE,160.0,10/10/15,34.40%,$219 ,2018-01-17 00:00:00,2:17 PM EST,12.0,181.0
Air Jordan,Jordan 1 Retro UNC,WHITE/DARK POWDER BLUE,160.0,10/10/15,34.40%,$219 ,2018-01-17 00:00:00,1:36 PM EST,11.0,217.0
Air Jordan,Jordan 1 Retro UNC,WHITE/DARK POWDER BLUE,160.0,10/10/15,34.40%,$219 ,2018-01-17 00:00:00,12:50 PM EST,8.0,275.0
Air Jordan,Jordan 1 Retro UNC,WHITE/DARK POWDER BLUE,160.0,10/10/15,34.40%,$219 ,2018-01-16 00:00:00,7:51 PM EST,14.0,290.0
Air Jordan,Jordan 1 Retro UNC,WHITE/DARK POWDER BLUE,160.0,10/10/15,34.40%,$219 ,2018-01-16 00:00:00,1:26 PM EST,10.0,186.0
Air Jordan,Jordan 1 Retro UNC,WHITE/DARK POWDER BLUE,160.0,10/10/15,34.40%,$219 ,2018-01-16 00:00:00,11:02 AM EST,12.0,200.0
Air Jordan,Jordan 1 Retro UNC,WHITE/DARK POWDER BLUE,160.0,10/10/15,34.40%,$219 ,2018-01-16 00:00:00,9:33 AM EST,8.0,275.0
Air Jordan,Jordan 1 Retro UNC,WHITE/DARK POWDER BLUE,160.0,10/10/15,34.40%,$219 ,2018-01-15 00:00:00,2:09 PM EST,9.0,227.0
Air Jordan,Jordan 1 Retro UNC,WHITE/DARK POWDER BLUE,160.0,10/10/15,34.40%,$219 ,2018-01-15 00:00:00,8:47 AM EST,10.0,200.0
Air Jordan,Jordan 1 Retro UNC,WHITE/DARK POWDER BLUE,160.0,10/10/15,34.40%,$219 ,2018-01-14 00:00:00,12:37 PM EST,8.0,275.0
Air Jordan,Jordan 1 Retro UNC,WHITE/DARK POWDER BLUE,160.0,10/10/15,34.40%,$219 ,2018-01-12 00:00:00,9:02 PM EST,9.5,250.0
Air Jordan,Jordan 1 Retro UNC,WHITE/DARK POWDER BLUE,160.0,10/10/15,34.40%,$219 ,2018-01-12 00:00:00,3:10 PM EST,13.0,260.0
Air Jordan,Jordan 1 Retro UNC,WHITE/DARK POWDER BLUE,160.0,10/10/15,34.40%,$219 ,2018-01-12 00:00:00,2:57 PM EST,11.0,195.0
Air Jordan,Jordan 1 Retro UNC,WHITE/DARK POWDER BLUE,160.0,10/10/15,34.40%,$219 ,2018-01-12 00:00:00,2:10 PM EST,11.0,275.0
Air Jordan,Jordan 1 Retro UNC,WHITE/DARK POWDER BLUE,160.0,10/10/15,34.40%,$219 ,2018-01-12 00:00:00,11:50 AM EST,11.0,275.0
Air Jordan,Jordan 1 Retro UNC,WHITE/DARK POWDER BLUE,160.0,10/10/15,34.40%,$219 ,2018-01-12 00:00:00,9:28 AM EST,12.0,209.0
Air Jordan,Jordan 1 Retro UNC,WHITE/DARK POWDER BLUE,160.0,10/10/15,34.40%,$219 ,2018-01-11 00:00:00,5:07 PM EST,10.0,200.0
Air Jordan,Jordan 1 Retro UNC,WHITE/DARK POWDER BLUE,160.0,10/10/15,34.40%,$219 ,2018-01-11 00:00:00,4:53 PM EST,11.0,200.0
Air Jordan,Jordan 1 Retro UNC,WHITE/DARK POWDER BLUE,160.0,10/10/15,34.40%,$219 ,2018-01-11 00:00:00,4:12 PM EST,9.5,200.0
Air Jordan,Jordan 1 Retro UNC,WHITE/DARK POWDER BLUE,160.0,10/10/15,34.40%,$219 ,2018-01-11 00:00:00,2:38 PM EST,9.5,200.0
Air Jordan,Jordan 1 Retro UNC,WHITE/DARK POWDER BLUE,160.0,10/10/15,34.40%,$219 ,2018-01-11 00:00:00,1:01 PM EST,12.0,210.0
Air Jordan,Jordan 1 Retro UNC,WHITE/DARK POWDER BLUE,160.0,10/10/15,34.40%,$219 ,2018-01-11 00:00:00,9:54 AM EST,11.0,215.0
Air Jordan,Jordan 1 Retro UNC,WHITE/DARK POWDER BLUE,160.0,10/10/15,34.40%,$219 ,2018-01-10 00:00:00,11:10 AM EST,11.5,212.0
Air Jordan,Jordan 1 Retro UNC,WHITE/DARK POWDER BLUE,160.0,10/10/15,34.40%,$219 ,2018-01-10 00:00:00,9:36 AM EST,13.0,202.0
Air Jordan,Jordan 1 Retro UNC,WHITE/DARK POWDER BLUE,160.0,10/10/15,34.40%,$219 ,2018-01-10 00:00:00,9:18 AM EST,8.5,195.0
Air Jordan,Jordan 1 Retro UNC,WHITE/DARK POWDER BLUE,160.0,10/10/15,34.40%,$219 ,2018-01-09 00:00:00,9:06 PM EST,9.5,215.0
Air Jordan,Jordan 1 Retro UNC,WHITE/DARK POWDER BLUE,160.0,10/10/15,34.40%,$219 ,2018-01-09 00:00:00,8:04 PM EST,10.0,245.0
Air Jordan,Jordan 1 Retro UNC,WHITE/DARK POWDER BLUE,160.0,10/10/15,34.40%,$219 ,2018-01-09 00:00:00,11:33 AM EST,12.0,180.0
Air Jordan,Jordan 1 Retro UNC,WHITE/DARK POWDER BLUE,160.0,10/10/15,34.40%,$219 ,2018-01-08 00:00:00,6:01 PM EST,11.5,180.0
Air Jordan,Jordan 1 Retro UNC,WHITE/DARK POWDER BLUE,160.0,10/10/15,34.40%,$219 ,2018-01-08 00:00:00,10:53 AM EST,8.0,265.0
Air Jordan,Jordan 1 Retro UNC,WHITE/DARK POWDER BLUE,160.0,10/10/15,34.40%,$219 ,2018-01-08 00:00:00,10:42 AM EST,12.0,275.0
Air Jordan,Jordan 1 Retro UNC,WHITE/DARK POWDER BLUE,160.0,10/10/15,34.40%,$219 ,2018-01-08 00:00:00,10:21 AM EST,13.0,199.0
